listing_id,company_id,material_id,quantity,unit,listing_date,availability_status,price_per_ton,city,remarks
W082,C051,M032,8,tons,2026-07-16,Available,240,Kottayam,Bulk quantity available
W083,C051,M032,11,tons,2026-07-09,Available,179,Kottayam,Monthly recurring supply
W084,C053,M032,12,tons,2026-07-19,Available,98,Ernakulam,Freshly generated
W085,C053,M032,15,tons,2026-07-18,Available,142,Ernakulam,Quality inspected
W086,C053,M032,17,tons,2026-07-12,Available,169,Ernakulam,Freshly generated
W087,C056,M034,22,tons,2026-07-08,Available,1231,Palakkad,Covered storage
W088,C056,M034,31,tons,2026-07-22,Available,2943,Palakkad,Quality inspected
W089,C056,M034,37,tons,2026-07-11,Available,2287,Palakkad,Covered storage
W090,C057,M035,26,tons,2026-07-21,Available,2861,Kozhikode,Ready for pickup
W091,C057,M035,18,tons,2026-07-22,Closed,2286,Kozhikode,Sorted and baled
W092,C058,M006,43,tons,2026-07-08,Available,1307,Palakkad,Monthly recurring supply
W093,C058,M006,37,tons,2026-07-21,Reserved,1852,Palakkad,Covered storage
W094,C058,M006,30,tons,2026-07-12,Available,1730,Palakkad,Suitable for recycling
W095,C059,M033,29,tons,2026-07-12,Available,167,Thrissur,Quality inspected
W096,C059,M033,54,tons,2026-07-18,Reserved,65,Thrissur,Ready for pickup
W097,C060,M060,36,tons,2026-07-12,Available,89,Kannur,Covered storage
W098,C060,M060,46,tons,2026-07-18,Available,280,Kannur,Clean dry sawdust
W099,C061,M042,29,tons,2026-07-18,Available,220,Thrissur,Industrial grade
W100,C061,M042,48,tons,2026-07-12,Available,238,Thrissur,Suitable for recycling
W101,C062,M037,38,tons,2026-07-12,Available,2593,Ernakulam,Freshly generated
W102,C062,M037,60,tons,2026-07-08,Closed,1195,Ernakulam,Industrial grade
W103,C062,M037,15,tons,2026-07-18,Available,1872,Ernakulam,Contamination below 2%
W104,C063,M041,58,tons,2026-07-19,Reserved,158,Kozhikode,Bulk quantity available
W105,C063,M041,22,tons,2026-07-20,Available,23,Kozhikode,Bulk quantity available
W106,C063,M041,40,tons,2026-07-13,Closed,37,Kozhikode,Suitable for recycling
W107,C064,M043,36,tons,2026-07-08,Reserved,294,Palakkad,Bulk quantity available
W108,C064,M043,55,tons,2026-07-11,Available,253,Palakkad,Freshly generated
W109,C065,M044,25,tons,2026-07-20,Reserved,2,Kottayam,Industrial grade
W110,C065,M044,59,tons,2026-07-16,Available,90,Kottayam,Covered storage
W111,C065,M044,39,tons,2026-07-22,Reserved,127,Kottayam,Industrial grade
W112,C066,M045,39,tons,2026-07-20,Available,2675,Kochi,Covered storage
W113,C066,M045,48,tons,2026-07-17,Closed,2312,Kochi,Industrial grade
W114,C066,M045,42,tons,2026-07-16,Reserved,2326,Kochi,Ready for pickup
W115,C067,M046,40,tons,2026-07-15,Available,1512,Kottayam,Industrial grade
W116,C067,M046,27,tons,2026-07-10,Closed,2635,Kottayam,Freshly generated
W117,C068,M039,50,tons,2026-07-19,Available,2301,Kannur,Industrial grade
W118,C069,M048,13,tons,2026-07-18,Available,139,Ernakulam,Quality inspected
W119,C069,M048,7,tons,2026-07-08,Available,41,Ernakulam,Ready for pickup
W120,C069,M048,4,tons,2026-07-19,Available,78,Ernakulam,Bulk quantity available
W121,C070,M049,3,tons,2026-07-16,Available,169,Alappuzha,Covered storage
W122,C071,M051,37,tons,2026-07-16,Available,1347,Kozhikode,Suitable for recycling
W123,C071,M051,32,tons,2026-07-08,Closed,2892,Kozhikode,Ready for pickup
W124,C071,M051,44,tons,2026-07-16,Available,524,Kozhikode,Quality inspected
W125,C072,M052,27,tons,2026-07-10,Available,2216,Ernakulam,Industrial grade
W126,C072,M052,39,tons,2026-07-19,Available,2285,Ernakulam,Industrial grade
W127,C072,M052,9,tons,2026-07-16,Available,2156,Ernakulam,Suitable for recycling
W128,C073,M053,39,tons,2026-07-08,Available,273,Thrissur,Freshly generated
W129,C073,M053,35,tons,2026-07-13,Reserved,13,Thrissur,Monthly recurring supply
W130,C073,M053,51,tons,2026-07-16,Available,236,Thrissur,Suitable for composting
W131,C074,M083,13,tons,2026-07-18,Available,167,Palakkad,Ready for pickup
W132,C074,M083,39,tons,2026-07-17,Available,194,Palakkad,Bulk quantity available
W133,C075,M054,58,tons,2026-07-09,Available,129,Idukki,Monthly recurring supply
W134,C075,M054,40,tons,2026-07-22,Closed,276,Idukki,Freshly generated
W135,C076,M055,16,tons,2026-07-19,Reserved,35,Ernakulam,Industrial grade
W136,C077,M057,6,tons,2026-07-10,Available,126,Kozhikode,Ready for pickup
W137,C077,M057,5,tons,2026-07-13,Available,122,Kozhikode,Moisture below 10%
W138,C078,M058,40,tons,2026-07-12,Available,288,Wayanad,Ready for pickup
W139,C079,M059,39,tons,2026-07-11,Available,188,Palakkad,Freshly generated
W140,C079,M059,48,tons,2026-07-13,Closed,58,Palakkad,Freshly generated
